jobcode	jobtitle
801000	animateur(-trice) - st-leonard
721810	agent(e)technique assainissement - air et eau
211770	chef(fe) de division - culture, biblio, sports, loisirs et dev. social
218130	chef(fe) de division - communications, greffe, relations citoyens et adjoint(e) dir. arr.
600960	prepose(e) au service - voie publique
106080	directeur(-trice) bureau de projets ti
216950	chef(fe) de division - animation et programmes educatifs
713680	technicien(ne)-formateur(-trice) - cum
210990	chef(fe) de division - parcs (arrondissement)
721680	agent(e) technique en évaluation foncière
215230	chef(fe) de section - activites aquatiques (arrondissement)
213430	c/m voirie <<arr.>>
900380	stagiaire professionnel ou juriste
216090	chef(fe) de section - interventions - environnement
222270	chef(fe) de section - ressources informationnelles spvm
721820	analyste - integrite des donnees policieres
216160	c/s acquisition et preparation materielle bibliotheques
219850	chef(fe) de division - services sur route (materiel roulant et ateliers)
214920	conseiller(-ere) - gestion des invalidites presence au travail
355210	agent(e) de programmation   d activites - planetarium
214140	chef(fe) de section - parc automobile spvm
718340	préposé(e) à l acceuil - outr
717430	coordonnateur(-trice) des pataugeoires exterieures - montreal-nord
717420	coordonnateur(-trice) - piscines exterieures - mtl-nord
220840	chef(fe) de division - développement des compétences
219890	chef(fe) de division - soutien aux systemes de gestion financiere
401570	conseiller(-ere) principal(e) en architecture d affaires
601600	briqueteur(-euse)-macon(ne)
209240	chef(fe) de division - gestion de la dette et de la tresorerie
217330	directeur(-trice) adjoint(e) de cabinet - mairie de montréal
223030	chef(fe) section - mise en serv. véhicules, entretien postes carburant et projets spéciaux
401140	profil - 401130 - frontale
105920	directeur(-trice) generale(e) adjoint(e)
611080	apprenti(e) - elagueur(-euse)
219080	c/projet plan dir modif infra cont procédés infor gestion
900750	stage non remunere cols blancs
218570	chef(fe) de division - amenagement urbain et services aux entreprises
209250	chef(fe) de division - financement, placement et gestion du risque
215660	chef(fe) de division - gestion immobiliere et exploitation des batiments specialises
900780	stagiaire professionnel - niveau maitrise
401120	profil - 401000 - partenariats ti
216480	chef(fe) de division - gestion durable de l eau
220850	chef de section - planification et développement
220390	agent(e)- sante et securite au travail
103070	directeur(-trice) de service - securite incendie
401060	profil - 401000 - certification en securite de l information
769410	prepose(e) aux renseignements entomologiques
104210	directeur(-trice) de service - grands parcs, verdissement et mont-royal
221370	chef(fe) de la securite de l information
105550	directeur(-trice)-cult.sl.ds.(ile bizard-outremont)
105090	directeur(-trice)-travaux publics amenagement urbain (arr.)
451060	conseiller(-ere) technique - ingenieur(e)
204570	c/m entret.du terr.<<arr.verd>>
218920	chef(fe) de section-optimisation systeme distribution eau potable et gestion consommation
223810	chef(fe) de division - partenariats et interventions territoriales
106760	directeur(-trice) de la biosphere
222550	directeur(-trice) adjoint(e) chef(fe) aux operations (ville-marie)
721930	programme tremplin-travail - collégial
106030	directeur(-trice) du planetarium
221010	c/d gestion du portefeuille immobilier
216450	contremaitre(-tresse)-entretien des vannes principales du reseau primaire d aqueduc
700500	prepose(e) au remorquage
720930	technicien(ne) artistique
719910	moniteur(-trice) - piscines - lachine
700550	surveillant(e) d installations
270610	chef(fe) aux operations - sim
400010	conseiller(-ere) analyse - controle de gestion
211330	agent(e) prepose(e) aux indemnites
300650	animateur(-trice) institutions scientifiques
755310	agent(e) technique en horticulture et arboriculture
702730	coordonnateur(-trice) - parcs - lasalle
702380	animateur(-trice) guide - lasalle
603240	prepose(e) aux travaux   a la proprete
900370	stagiaire cadre
218700	chef(fe) de division - communications et marketing (espace pour la vie)
600810	operateur(-trice) d appareils motorises c
217500	responsable des operations (service de l eau)
218210	chef(fe) de division - relations avec les citoyens et communications - niveau ii
218660	chef(fe) de section - entretien eclairage, feux circulation et signalisation lumineuse
752360	agent(e) technique en electricite
900690	stagiaire scientifique 1 a 59 credits
106010	directeur(-trice)-bureau de projets d immobilisations
215570	c/m parc,transport   déneigement <<arrond>
713750	technicien(ne) en evaluation grade 1 - cum
217470	chef(fe) d atelier - plomberie (eau)
209370	chef(fe) de division - ressources humaines (arrondissement)
220550	superviseur(e) - installations sports et loisirs
401200	administrateur(-trice) principal(e) - réseaux de telecommunications
103490	directeur(-trice) - travaux publics en arrondissement
212350	chef(fe) de division - horticulture et collections
713060	chef(fe) d equipe - prepose(e) aux communications d urgence
754850	charge(e) d operation
219170	c/d amenag urbain securite publique (ibizard)
222370	chef(fe) de section - solutions et experiences d apprentissage
782900	charge(e) de subventions   de renovation
221880	chef(fe) de section - logistique
731430	prepose(e) au controle du traitement des donnees
603230	etudiant(e) col bleu - l.c.d. restaurants
103400	directeur(-trice) de service - experience citoyenne et communication
706750	commis aux plateaux des activites - anjou
900710	stagiaire scientifique 90 credits et plus
221570	gerant(e) d immeubles
219580	chef(fe) de division - amenagement et projets urbains
215920	contremaitre(-tresse) - installation de systemes electriques
212540	charge(e) de projets - mecanique du batiment - stle
215970	chef(fe) de division - developpement commercial (seplv)
721980	charge(e) au controle des dossiers de poursuites
223960	chef(fe) de section - centre opérationnel
755860	concepteur(-trice) artistique de projets
203320	chef(fe) de section - archives
254770	c/m  a l operation des usines  de production d eau
105960	directeur(-trice) de service - gestion et planification immobiliere
221710	chef(fe) de division - expertise d entretien
207780	chef(fe) de section - grands parcs
103380	directeur(-trice) - arrondissement (ii)
213580	contremaître(-tresse) - électricité et électronique (v)
220100	chef(fe) de division-amenagement du territoire et etudes techniques (arr. rosemont-pp)
206790	chef(fe) de division - formation (spvm)
222000	chef(fe) de division - renseignement strategique (spvm)
702300	agent(e) de soutien - lasalle
101400	chef(fe) de section - ingénierie (lasalle)
214640	contremaître(-tresse) - mécanique aux usines
216130	chef(fe) de section - aquatique - claude robillard et arrondissements
106520	directeur(-trice) chaine logistique
